Microorganisms,Product
C. autoethanogenum,Acetone
C. autoethanogenum,Isopropanol
A. woodii ,Acetate
A. woodii DSM1030,Acetate
C. ljungdahlii,n-Butanol
C. ljungdahlii,Ethanol
M. trichosporium OB3b,PHB
M. trichosporium OB3b,Methanol
Methylomonas sp. strain 16a,Astaxanthin
Methylomonas sp. DH-1,Methanol
M. alcaliphilum 20Z,Bisabolene
M. alcaliphilum 20Z,Humulene
M. alcaliphilum 20Z,Ectoine
B. methanolicus MGA3,l-Glutamate
B. methanolicus MGA4,l-Lysine
B. methanolicus MGA5,Aminobutyrate
B. methanolicus MGA6,Cadaverine
B. methanolicus MGA7,Cadaverine
B. methanolicus MGA8,5-Aminovalerate
B. methanolicus MGA9,Riboflavin
B. methanolicus MGA10,Acetoin
M. extorquens,Itaconic Acid
M. extorquens,Itaconic Acid
M. extorquens,Humulene
E. coli (Engineered),acetone
E. coli (Engineered),PHB
C. necator,PHB
C. necator,Acetoin
C. necator,"1,3-butanediol"
C. necator,Mannitol
C. necator,L-valine
C. necator,lycopene
C. necator,Humulene
C. necator,Myo-inositol
